ticker,weight
EXPE,0.0003932315662047066
IR,0.0003924511066076591
CTSH,0.0003922810064390718
SYF,0.00038782838437899315
AWK,0.0003824652261223589
CPAY,0.0003810744070968512
WTW,0.0003803739946379624
VEEV,0.0003776824096173755
PPG,0.00037677187342082007
RF,0.0003751609247653758
FE,0.00037500083048905834
VRSK,0.0003741403237538522
OMC,0.00036625568064521836
EXE,0.00036470476734339324
DRI,0.00036404437845358374
TPL,0.0003635741015169013
DG,0.00036236338855225064
HPQ,0.0003593215973022193
WSM,0.00035680011245021976
CMS,0.00035642989443623565
WST,0.00035641988854396574
NI,0.00035583954679231503
TROW,0.00035515914611796594
ULTA,0.0003550790989798072
CHD,0.0003538783919074265
EQR,0.000353338073724855
FIS,0.00035313795587945827
MTD,0.00034817503331361775
PHM,0.0003475246503160781
FFIV,0.00034498315367953886
SBAC,0.0003429219398719518
EL,0.0003387094592263492
VLTO,0.0003386094003036509
LH,0.00033798903498292077
DGX,0.0003334563657846833
STE,0.0003328059827871437
EXPD,0.0003325458295881279
STZ,0.000329974315274779
AKAM,0.0003293039204926998
CHRW,0.0003233304028076054
PFG,0.00031871768647120913
KHC,0.0003169566494317173
ALB,0.00031430508798020984
KEY,0.00031406494656573364
WRB,0.0003123339272030513
LUV,0.0003116435206364324
SW,0.00031064293140944845
EFX,0.0003067206216396712
DD,0.00030544987332140153
JBHT,0.000304479301771227
EVRG,0.0003033786536215447
VTRS,0.00030123739267579893
PKG,0.0003001567563106562
LEN,0.0003001267386338467
IFF,0.00029971649705078324
SNA,0.0002976752950277359
CF,0.00029720501809105343
LNT,0.000295363933913403
L,0.0002891302630292927
TSN,0.00028819971504819757
FTV,0.0002874192554511501
GIS,0.0002817058909650715
LYB,0.0002810755197520716
SMCI,0.00027895427059086556
PTC,0.00027755344567308794
AMCR,0.00027730329836634195
ESS,0.0002765228387692945
BR,0.00027568234381862794
DLTR,0.0002726605643531363
GPN,0.000271549910311184
WY,0.00026670705845258157
ZBH,0.00026525620407345476
BRO,0.0002649260096285501
NVR,0.0002633851022189947
TSCO,0.0002621343656852647
SATS,0.00026091364682834424
INVH,0.0002580219439623606
IP,0.00025716143722715433
BG,0.00025581064177072595
KIM,0.0002554004001876625
MRNA,0.0002544398345297579
LDOS,0.00025266879159799625
INCY,0.00025183830253959954
TXT,0.0002478359456316636
GNRC,0.00024504430168837825
IEX,0.00024468408956666404
ROL,0.00024428385387587043
NDSN,0.000241622286532093
MAA,0.00024099191531909311
LII,0.00024075177390461694
BALL,0.00023709962322612538
LVS,0.0002353986215402526
DECK,0.00023465818551228446
RL,0.00022782416109198386
CDW,0.00022710373684855535
CSGP,0.0002256028530080794
HST,0.0002231714211865083
EG,0.00022228089677449255
GEN,0.0002171178563632552
APA,0.00021541685467738243
LULU,0.00021473645400303331
J,0.00021299542874808118
DOC,0.00021246511645777965
MAS,0.00021179472167570039
GPC,0.00021178471578343056
TYL,0.0002110142620786529
TRMB,0.0002087329186411294
REG,0.00020363991947578087
AIZ,0.00020138859371506693
TKO,0.00019877705583263875
FOXA,0.0001985469203104324
HII,0.00019556516441402013
SWKS,0.0001942844102034806
ZBRA,0.00019421436895759175
PNW,0.00019418435128078224
CHTR,0.0001939041862972267
AVY,0.00019321377973060777
GL,0.0001926434438712269
PNR,0.00019168287821332228
GDDY,0.00019140271322976675
COO,0.0001898317881434019
MKC,0.00018945156423714798
APTV,0.00018907134033089407
BBY,0.0001884809926869735
IVZ,0.000186950091169688
SWK,0.00018614961978810082
HAS,0.0001827276046318156
UDR,0.0001804262494097524
CLX,0.00017988593122718108
SOLV,0.0001781349000799591
ALLE,0.00017562342112022931
IT,0.00017424260798699136
SJM,0.00017396244300343585
CPT,0.00017343213071313438
ALGN,0.00017078056926162678
RVTY,0.00017039033946310303
PODD,0.00016995008020323008
AES,0.0001650571988832784
JKHY,0.00015884353978370784
BAX,0.00015482117109123222
TTD,0.00015426084112412118
DPZ,0.0001542408293395815
NWSA,0.000151709338595312
BEN,0.0001513491264735978
FRT,0.00014691651619805872
BXP,0.00013859161382955194
FDS,0.00013606012308528247
UHS,0.00013496948082786993
BLDR,0.000129466240079458
WYNN,0.00012799537391579153
FOX,0.00012458336465177616
CRL,0.00012440325859091903
TECH,0.00011760925773969775
ARE,0.00011756923417061839
NCLH,0.00011722903383344384
HSIC,0.00011625846228326939
MGM,0.00011325669460231741
MOS,0.00011211602288355567
TAP,0.00011108541597976216
CAG,0.00010212013650598564
DVA,0.00010113955906354135
AOS,0.00010088941175679534
HRL,9.761748498455772e-05
POOL,9.45256642731772e-05
EPAM,8.866221140305104e-05
ERIE,8.852212891127329e-05
BF-B,7.053153461010119e-05
CPB,6.376755143568946e-05
NWS,5.6333173479198425e-05
PSKY,5.112010360661186e-05
2602335D,3.001767680951959e-08
